route,status,expected,ok
/api/architecture,404,404,True
/api/pipeline,404,404,True
/api/file,404,404,True
/api/promotion,404,404,True
/api/live-progress,404,404,True
/api/runs,404,404,True
/api/runtime-reading,404,404,True
/api/session-live,404,404,True
/api/session-firing,404,404,True
/api/live-poll,404,404,True
/api/trail-runs,404,404,True
/api/trail,404,404,True
/api/comparison,404,404,True
/api/rollup,404,404,True
/api/prd-firing,404,404,True
/api/health,200,200,True
/api/status,200,200,True
/api/meta,200,200,True
/api/trace-runs,200,200,True
/api/runboard,200,200,True
